disease,symptom,treatment,authors,publication_date,source
Malaria,"Headaches, Dizziness","Vaccines, Antiviral Drugs",Pamela Jordan,2012-10-19,Elsevier
Asthma,"Headaches, Dizziness","Medications, Therapy",Casey Ellison,2017-09-18,Elsevier
COVID-19,"Numbness, Weakness","Chloroquine, Artemisinin",Trevor Allen,2005-12-26,Elsevier
Alzheimer's,"Fever, Headache","Medications, Therapy",Dr. Earl Pearson,2015-02-21,Elsevier
Alzheimer's,"Joint Pain, Swelling",Anti-inflammatory drugs,James Aguirre,2024-06-28,Elsevier
Arthritis,"Numbness, Weakness","Insulin, Metformin",Michael Rose,2022-05-28,PubMed
Arthritis,"Joint Pain, Swelling","Insulin, Metformin",Philip Gomez,2023-12-13,Elsevier
Stroke,"Shortness of Breath, Cough","Blood Thinners, Surgery",John Nelson,2017-05-04,Elsevier
Arthritis,"Increased Thirst, Fatigue",Anti-inflammatory drugs,Dr. Shane Ballard,2015-04-21,WHO
Cancer,"Numbness, Weakness","Chemotherapy, Radiotherapy",Michelle Sanchez,2014-03-28,WHO
Diabetes,"Fever, Headache","Insulin, Metformin",Christina Green,2019-04-03,CDC
COVID-19,"Increased Thirst, Fatigue","Bronchodilators, Corticosteroids",Vincent Gross,2007-02-21,WHO
Cancer,"Shortness of Breath, Cough",Anti-inflammatory drugs,Brianna Weaver,2000-02-23,WHO
Malaria,"Fever, Headache","Vaccines, Antiviral Drugs",Andrew Turner,2001-05-04,WHO
COVID-19,"Joint Pain, Swelling","Chloroquine, Artemisinin",Christopher Houston,2023-06-04,Elsevier
Cancer,"Joint Pain, Swelling","Vaccines, Antiviral Drugs",Tyrone Carr,2021-07-13,NIH
Stroke,"Chills, Muscle Pain","Rest, Fluids",Craig Murphy,2001-02-05,NIH
Hypertension,"Chills, Muscle Pain","Blood Thinners, Surgery",Elizabeth Horton,2007-09-12,PubMed
Arthritis,"Chills, Muscle Pain","Bronchodilators, Corticosteroids",Christopher Carter,2012-03-29,NIH
Flu,"Shortness of Breath, Cough","Vaccines, Antiviral Drugs",Shelby Lopez,2001-11-24,WHO
Malaria,"Shortness of Breath, Cough","Chemotherapy, Radiotherapy",Terry Wade,2008-03-02,Elsevier
Cancer,"Confusion, Memory Loss","Chloroquine, Artemisinin",Heather Bryant,2007-03-13,Elsevier
Alzheimer's,"Numbness, Weakness","Medications, Therapy",Allison Ochoa,2018-01-19,CDC
Hypertension,"Numbness, Weakness","Medications, Therapy",Rebecca Stanley,2012-08-05,NIH
COVID-19,"Confusion, Memory Loss","Chemotherapy, Radiotherapy",Jasmine Macias MD,2003-02-02,WHO
Alzheimer's,"Loss of Smell, Cough","Chemotherapy, Radiotherapy",Kyle Jones,2022-02-07,PubMed
Malaria,"Chills, Muscle Pain","Chemotherapy, Radiotherapy",Molly Owens,2024-09-17,PubMed
Alzheimer's,"Shortness of Breath, Cough","Rest, Fluids",Jessica Pearson,2007-03-27,WHO
Arthritis,"Numbness, Weakness","Insulin, Metformin",Timothy Taylor,2004-07-11,Elsevier
Cancer,"Confusion, Memory Loss","Rest, Fluids",Maria Huffman,2018-05-03,PubMed
COVID-19,"Shortness of Breath, Cough","Chemotherapy, Radiotherapy",Margaret Fitzgerald,2020-03-01,CDC
Asthma,"Shortness of Breath, Cough",Anti-inflammatory drugs,Justin Smith,2019-03-06,NIH
Hypertension,"Joint Pain, Swelling","Chloroquine, Artemisinin",Jacqueline Gray,2021-07-26,NIH
Stroke,"Increased Thirst, Fatigue","Rest, Fluids",Michael Rose,2000-06-17,PubMed
Cancer,"Headaches, Dizziness","Medications, Therapy",Douglas Moore,2002-11-11,PubMed
Hypertension,"Numbness, Weakness","Medications, Therapy",Troy Robertson,2006-09-19,Elsevier
Diabetes,"Loss of Smell, Cough","Rest, Fluids",Margaret Fitzgerald,2007-07-18,WHO
Flu,"Shortness of Breath, Cough","Chloroquine, Artemisinin",Chloe Choi,2006-08-09,WHO
Alzheimer's,"Confusion, Memory Loss","Medications, Therapy",Carlos Gibson,2007-04-30,PubMed
Flu,"Shortness of Breath, Cough","Insulin, Metformin",Angelica Reed,2009-04-03,Elsevier
Asthma,"Chills, Muscle Pain","Rest, Fluids",Felicia Oliver,2015-11-09,NIH
Stroke,"Fatigue, Weight Loss","Bronchodilators, Corticosteroids",Matthew Brady,2000-05-08,NIH
Diabetes,"Confusion, Memory Loss","Insulin, Metformin",Amanda Jones,2024-10-06,PubMed
Arthritis,"Fatigue, Weight Loss","Insulin, Metformin",Cynthia Carroll,2005-09-20,Elsevier
Diabetes,"Chills, Muscle Pain","Medications, Therapy",Derek Price,2023-04-18,WHO
Cancer,"Headaches, Dizziness","Chemotherapy, Radiotherapy",Lisa Davis,2003-09-24,Elsevier
Arthritis,"Fever, Headache","Chemotherapy, Radiotherapy",Jennifer Lewis,2002-08-29,WHO
Arthritis,"Chills, Muscle Pain","Medications, Therapy",Lisa Guerra,2010-11-19,PubMed
Arthritis,"Headaches, Dizziness",Anti-inflammatory drugs,Jenny Martin,2010-04-03,PubMed
Malaria,"Numbness, Weakness","Medications, Therapy",Peter Leblanc,2018-07-20,Elsevier
COVID-19,"Fatigue, Weight Loss","Insulin, Metformin",Anna Young,2002-06-07,WHO
COVID-19,"Fatigue, Weight Loss","Chemotherapy, Radiotherapy",Heather Bryant,2011-03-17,PubMed
Alzheimer's,"Chills, Muscle Pain","Bronchodilators, Corticosteroids",Jennifer Mcguire,2013-10-09,WHO
Diabetes,"Chills, Muscle Pain","Rest, Fluids",Edward Becker,2012-06-18,Elsevier
Flu,"Headaches, Dizziness","Insulin, Metformin",Trevor Allen,2019-03-31,NIH
Asthma,"Numbness, Weakness","Chemotherapy, Radiotherapy",Heather Walsh,2014-05-10,CDC
Arthritis,"Chills, Muscle Pain","Chemotherapy, Radiotherapy",Phillip Duncan,2014-08-15,WHO
Stroke,"Fatigue, Weight Loss","Lifestyle changes, Antihypertensive drugs",Denise Blake,2005-11-05,NIH
Arthritis,"Loss of Smell, Cough",Anti-inflammatory drugs,Adrian Spencer,2014-03-26,CDC
Alzheimer's,"Fever, Headache","Chemotherapy, Radiotherapy",Tiffany Lynch,2000-10-05,Elsevier
Arthritis,"Fatigue, Weight Loss","Chemotherapy, Radiotherapy",Greg Little,2011-05-11,WHO
Hypertension,"Numbness, Weakness","Chemotherapy, Radiotherapy",Brad Brady,2014-07-18,WHO
Diabetes,"Chills, Muscle Pain","Vaccines, Antiviral Drugs",Jill Adams,2008-10-17,Elsevier
Arthritis,"Numbness, Weakness","Medications, Therapy",Lisa Hensley,2017-04-03,CDC
Alzheimer's,"Fatigue, Weight Loss","Vaccines, Antiviral Drugs",Albert Smith,2007-05-30,Elsevier
Alzheimer's,"Joint Pain, Swelling","Bronchodilators, Corticosteroids",Chelsea Williams,2018-06-28,WHO
Hypertension,"Chills, Muscle Pain","Blood Thinners, Surgery",Robert Hale,2008-03-20,NIH
COVID-19,"Chills, Muscle Pain","Rest, Fluids",Bradley Jones,2015-12-01,CDC
Stroke,"Loss of Smell, Cough","Blood Thinners, Surgery",Katelyn Aguilar,2010-04-07,NIH
Asthma,"Joint Pain, Swelling","Chloroquine, Artemisinin",Jack Davila,2024-01-02,NIH
Malaria,"Confusion, Memory Loss","Chemotherapy, Radiotherapy",Daniel Stanley,2009-04-27,NIH
Flu,"Fatigue, Weight Loss","Chloroquine, Artemisinin",Joyce Smith,2022-11-24,PubMed
Asthma,"Numbness, Weakness","Rest, Fluids",Brian Ramirez,2024-08-15,WHO
Diabetes,"Loss of Smell, Cough","Lifestyle changes, Antihypertensive drugs",Robert Martinez,2002-07-22,CDC
Asthma,"Increased Thirst, Fatigue","Chloroquine, Artemisinin",Chloe Padilla,2007-10-15,PubMed
Alzheimer's,"Increased Thirst, Fatigue","Rest, Fluids",Melissa Brady,2019-04-05,NIH
COVID-19,"Joint Pain, Swelling","Rest, Fluids",Jennifer Johnson,2018-06-13,WHO
Hypertension,"Fatigue, Weight Loss","Medications, Therapy",Christian Clark,2004-05-20,PubMed
Stroke,"Headaches, Dizziness","Vaccines, Antiviral Drugs",Timothy Delgado,2019-05-18,PubMed
Cancer,"Increased Thirst, Fatigue","Rest, Fluids",Erin Hicks,2006-01-18,Elsevier
